vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-07-12T21:08:55.000,2017-07-12T21:19:20.000,1,1.89,1,N,234,79,1,9,0.5,0.5,2.06,0,0.3,12.36
2,2017-07-12T21:21:32.000,2017-07-12T21:27:12.000,1,1.01,1,N,79,79,1,5.5,0.5,0.5,1.02,0,0.3,7.82
2,2017-07-12T21:30:32.000,2017-07-12T21:40:27.000,1,1.41,1,N,79,170,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2017-07-12T21:45:07.000,2017-07-12T21:54:19.000,1,1.90,1,N,107,229,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2017-07-12T21:44:54.000,2017-07-12T21:54:29.000,1,1.49,1,N,231,249,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2017-07-12T21:55:40.000,2017-07-12T22:00:18.000,1,0.77,1,N,249,125,1,5,0.5,0.5,2,0,0.3,8.3
1,2017-07-12T21:53:23.000,2017-07-12T22:21:16.000,1,10.80,1,N,138,230,1,33,0.5,0.5,10,5.76,0.3,50.06
1,2017-07-12T21:17:07.000,2017-07-12T21:33:41.000,1,2.50,1,N,162,114,1,12.5,0.5,0.5,1,0,0.3,14.8
1,2017-07-12T21:35:30.000,2017-07-12T21:51:07.000,2,2.30,1,N,114,161,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2017-07-12T21:59:05.000,2017-07-12T22:13:27.000,2,2.40,1,N,170,158,1,11.5,0.5,0.5,2.55,0,0.3,15.35
2,2017-07-12T21:03:37.000,2017-07-12T21:06:11.000,1,0.51,1,N,107,137,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-07-12T21:07:24.000,2017-07-12T21:37:44.000,1,8.90,1,N,137,244,1,29,0.5,0.5,6.06,0,0.3,36.36
1,2017-07-12T21:18:13.000,2017-07-12T21:24:27.000,4,0.90,1,N,264,164,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2017-07-12T21:26:23.000,2017-07-12T21:36:04.000,1,1.50,1,N,164,249,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2017-07-12T21:37:51.000,2017-07-12T21:50:27.000,1,1.20,1,N,249,107,1,9.5,0.5,0.5,0.54,0,0.3,11.34
1,2017-07-12T21:52:50.000,2017-07-12T22:05:37.000,1,3.00,1,N,234,140,1,11.5,0.5,0.5,2.55,0,0.3,15.35
2,2017-07-12T21:16:24.000,2017-07-12T21:29:08.000,1,1.89,1,N,234,158,1,10,0.5,0.5,0,0,0.3,11.3
2,2017-07-12T21:48:04.000,2017-07-12T22:00:06.000,1,1.59,1,N,249,144,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2017-07-12T21:01:51.000,2017-07-12T21:08:47.000,1,0.98,1,N,230,90,1,6.5,0.5,0.5,1.95,0,0.3,9.75
2,2017-07-12T21:17:32.000,2017-07-12T21:32:25.000,1,2.63,1,N,234,231,1,12,0.5,0.5,1.5,0,0.3,14.8
2,2017-07-12T21:34:10.000,2017-07-12T21:40:08.000,1,1.16,1,N,231,231,1,6.5,0.5,0.5,2.34,0,0.3,10.14
2,2017-07-12T21:42:29.000,2017-07-12T21:46:07.000,1,0.83,1,N,211,249,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2017-07-12T21:33:15.000,2017-07-12T21:47:57.000,1,2.74,1,N,161,249,1,11.5,0.5,0.5,1.8,0,0.3,14.6
2,2017-07-12T21:51:19.000,2017-07-12T22:00:36.000,1,1.29,1,N,114,107,1,7.5,0.5,0.5,2.2,0,0.3,11
1,2017-07-12T21:40:00.000,2017-07-12T21:55:55.000,1,2.80,1,N,164,236,1,13,0.5,0.5,2.86,0,0.3,17.16
1,2017-07-12T21:57:48.000,2017-07-12T22:06:00.000,1,1.50,1,N,237,142,1,8,0.5,0.5,0.93,0,0.3,10.23
1,2017-07-12T21:15:04.000,2017-07-12T21:25:35.000,1,1.40,1,N,234,113,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2017-07-12T21:32:50.000,2017-07-12T21:46:02.000,2,1.70,1,N,113,232,2,10,0.5,0.5,0,0,0.3,11.3
1,2017-07-12T21:52:50.000,2017-07-12T22:07:15.000,2,2.30,1,N,4,100,1,11.5,0.5,0.5,2,0,0.3,14.8
1,2017-07-12T21:06:19.000,2017-07-12T21:21:50.000,1,2.30,1,N,249,230,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2017-07-12T21:29:22.000,2017-07-12T21:43:50.000,2,3.40,1,N,43,74,1,14,0.5,0.5,1.11,0,0.3,16.41
1,2017-07-12T21:44:51.000,2017-07-12T21:58:39.000,3,3.90,1,N,74,161,1,14.5,0.5,0.5,1,0,0.3,16.8
1,2017-07-12T21:00:08.000,2017-07-12T21:12:07.000,2,3.90,1,N,157,145,1,13.5,0.5,0.5,1.5,0,0.3,16.3
1,2017-07-12T21:48:22.000,2017-07-12T22:05:53.000,1,2.10,1,N,230,107,1,12.5,0.5,0.5,2.75,0,0.3,16.55
1,2017-07-12T21:52:12.000,2017-07-12T22:26:55.000,2,20.30,1,N,132,26,1,56,0.5,0.5,5.7,0,0.3,63
1,2017-07-12T21:06:49.000,2017-07-12T21:20:16.000,3,2.30,1,N,79,13,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2017-07-12T21:27:31.000,2017-07-12T21:45:59.000,2,3.00,1,N,13,234,1,14,0.5,0.5,3.05,0,0.3,18.35
1,2017-07-12T21:50:30.000,2017-07-12T21:55:08.000,1,0.70,1,N,234,234,1,5,0.5,0.5,1.55,0,0.3,7.85
1,2017-07-12T21:58:42.000,2017-07-12T22:21:40.000,2,4.10,1,N,234,75,2,18,0.5,0.5,0,0,0.3,19.3
2,2017-07-12T21:21:05.000,2017-07-12T21:25:59.000,1,0.90,1,N,164,163,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-07-12T21:27:29.000,2017-07-12T21:43:26.000,1,2.34,1,N,163,234,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2017-07-12T21:45:09.000,2017-07-12T21:46:08.000,1,0.13,1,N,234,107,2,3,0.5,0.5,0,0,0.3,4.3
2,2017-07-12T21:50:19.000,2017-07-12T22:03:54.000,1,1.67,1,N,164,229,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2017-07-12T21:23:36.000,2017-07-12T21:39:53.000,2,2.69,1,N,233,142,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2017-07-12T21:47:11.000,2017-07-12T22:05:18.000,2,2.26,1,N,237,48,1,12,0.5,0.5,0,0,0.3,13.3
2,2017-07-12T21:02:05.000,2017-07-12T21:18:20.000,1,2.68,1,N,211,230,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2017-07-12T21:31:25.000,2017-07-12T21:39:10.000,1,0.80,1,N,161,43,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-07-12T21:41:03.000,2017-07-12T21:45:24.000,1,0.49,1,N,43,230,2,5,0.5,0.5,0,0,0.3,6.3
2,2017-07-12T21:52:12.000,2017-07-12T22:04:49.000,1,1.27,1,N,230,163,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2017-07-12T21:16:26.000,2017-07-12T21:21:38.000,1,1.00,1,N,74,75,1,5.5,0.5,0.5,1,0,0.3,7.8
1,2017-07-12T21:38:58.000,2017-07-12T21:41:54.000,1,0.60,1,N,140,140,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2017-07-12T21:48:59.000,2017-07-12T22:04:56.000,1,4.00,1,N,140,234,1,15.5,0.5,0.5,10,0,0.3,26.8
2,2017-07-12T21:27:27.000,2017-07-12T21:59:57.000,1,16.50,2,N,132,137,1,52,0,0.5,11.71,5.76,0.3,70.27
2,2017-07-12T21:07:12.000,2017-07-12T21:12:05.000,1,0.76,1,N,161,142,2,5,0.5,0.5,0,0,0.3,6.3
2,2017-07-12T21:13:36.000,2017-07-12T21:48:17.000,1,7.39,1,N,142,65,2,27.5,0.5,0.5,0,0,0.3,28.8
2,2017-07-12T21:47:17.000,2017-07-12T22:07:58.000,1,2.81,1,N,79,163,1,15,0.5,0.5,3.26,0,0.3,19.56
1,2017-07-12T21:07:42.000,2017-07-12T21:13:25.000,1,0.90,1,N,100,170,1,6,0.5,0.5,0,0,0.3,7.3
1,2017-07-12T21:23:33.000,2017-07-12T21:31:12.000,1,1.00,1,N,162,186,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2017-07-12T21:32:51.000,2017-07-12T21:49:41.000,1,2.90,1,N,164,140,1,13.5,0.5,0.5,2,0,0.3,16.8
1,2017-07-12T21:53:11.000,2017-07-12T21:57:13.000,1,0.50,1,N,140,229,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2017-07-12T21:39:27.000,2017-07-12T21:44:15.000,1,1.66,1,N,236,74,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-07-12T21:01:00.000,2017-07-12T21:11:05.000,2,2.65,1,N,74,237,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2017-07-12T21:27:19.000,2017-07-12T21:40:40.000,2,2.24,1,N,170,237,1,11,0.5,0.5,2.46,0,0.3,14.76
